pod,timestamp,value
eric-bss-cil-database-cd-cil1-rack3-0,1669204006.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204006.286,0.007007506
eric-bss-cil-database-cd-cil1-rack1-0,1669204013.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204013.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204013.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204013.286,0.007007506
eric-bss-cil-database-cd-cil1-rack1-0,1669204020.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204020.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204020.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204020.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669204027.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204027.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204027.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204027.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669204034.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204034.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204034.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204034.286,0.000943127
eric-bss-cil-database-cd-cil1-rack1-0,1669204041.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204041.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204041.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204041.286,0.001131752
eric-bss-cil-database-cd-cil1-rack1-0,1669204048.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204048.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204048.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204048.286,0.001131752
eric-bss-cil-database-cd-cil1-rack1-0,1669204055.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204055.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204055.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669204055.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204062.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204062.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204062.286,0.001358102
eric-bss-cil-database-cd-cil1-rack4-0,1669204062.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204069.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204069.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204069.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204069.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204076.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204076.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204076.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204076.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204083.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204083.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204083.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204083.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204090.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204090.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204090.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204090.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204097.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204097.286,0.003379391
eric-bss-cil-database-cd-cil1-rack3-0,1669204097.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669204097.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204104.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204104.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204104.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204104.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204111.286,0.052066352
eric-bss-cil-database-cd-cil1-rack2-0,1669204111.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669204111.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204111.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204118.286,0.052066352
eric-bss-cil-database-cd-cil1-rack2-0,1669204118.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669204118.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204118.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204125.286,0.052066352
eric-bss-cil-database-cd-cil1-rack2-0,1669204125.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669204125.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204125.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204132.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204132.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669204132.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204132.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204139.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204139.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669204139.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204139.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204146.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204146.286,0.002346799
eric-bss-cil-database-cd-cil1-rack3-0,1669204146.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669204146.286,0.008409007
eric-bss-cil-database-cd-cil1-rack1-0,1669204153.286,0.043388627
